#,Name,Teleport,Area,Contributor,Notes
1,,,,,
2,,,,,
3,,,,,
4,Lilina's Statue,In Front of the Mayor's Residence,Florawish,Neptunya,
5,,,,,
6,,,,,
7,Lakeside Picnic Area,In Front of the Mayor's Residence,Florawish,Neptunya,
8,Dock Benches,In Front of the Mayor's Residence,Florawish,Neptunya,
9,,,,,
10,Ruins Plaza Corner,Dream Warehouse Spiral Corridor,Florawish,Neptunya,
11,Emerald Pond,Cavern Near the Warehouse,Florawish,Neptunya,
12,,,,,
13,,,,,
14,Sanctum of the Observant,In Front of the Sanctum of the Observant,Florawish,Neptunya,
15,,,,,
16,,,,,
17,,,,,
18,,,,,
19,,,,,
20,,,,,
21,,,,,
22,,,,,
23,,,,,
24,,,,,
25,,,,,
26,,,,,
27,,,,,
28,,,,,
29,,,,,
30,,,,,
31,,,,,
32,,,,,
33,,,,,
34,,,,,
35,,,,,
